key	path
GPL7641	GPL7nnn/GPL7641/annot/
GPL7791	GPL7nnn/GPL7791/annot/
GPL9692	GPL9nnn/GPL9692/annot/
GPL14797	GPL14nnn/GPL14797/annot/
GPL3395	GPL3nnn/GPL3395/annot/
GPL10765	GPL10nnn/GPL10765/annot/
GPL6398	GPL6nnn/GPL6398/annot/
GPL8793	GPL8nnn/GPL8793/annot/
GPL6648	GPL6nnn/GPL6648/annot/
GPL3236	GPL3nnn/GPL3236/annot/
GPL8794	GPL8nnn/GPL8794/annot/
GPL3446	GPL3nnn/GPL3446/annot/
GPL18756	GPL18nnn/GPL18756/annot/
GPL10332	GPL10nnn/GPL10332/annot/
GPL2917	GPL2nnn/GPL2917/annot/
GPL4384	GPL4nnn/GPL4384/annot/
GPL16570	GPL16nnn/GPL16570/annot/
GPL10739	GPL10nnn/GPL10739/annot/
GPL5352	GPL5nnn/GPL5352/annot/
GPL4335	GPL4nnn/GPL4335/annot/
GPL18460	GPL18nnn/GPL18460/annot/
GPL9207	GPL9nnn/GPL9207/annot/
GPL9451	GPL9nnn/GPL9451/annot/
GPL4048	GPL4nnn/GPL4048/annot/
GPL876	GPLnnn/GPL876/annot/
GPL15558	GPL15nnn/GPL15558/annot/
GPL2000	GPL2nnn/GPL2000/annot/
GPL17745	GPL17nnn/GPL17745/annot/
GPL9700	GPL9nnn/GPL9700/annot/
GPL16699	GPL16nnn/GPL16699/annot/
GPL4049	GPL4nnn/GPL4049/annot/
GPL7474	GPL7nnn/GPL7474/annot/
GPL5051	GPL5nnn/GPL5051/annot/
GPL13534	GPL13nnn/GPL13534/annot/
GPL5447	GPL5nnn/GPL5447/annot/
GPL13658	GPL13nnn/GPL13658/annot/
GPL368	GPLnnn/GPL368/annot/
GPL1386	GPL1nnn/GPL1386/annot/
GPL5572	GPL5nnn/GPL5572/annot/
GPL13112	GPL13nnn/GPL13112/annot/
GPL16025	GPL16nnn/GPL16025/annot/
GPL5653	GPL5nnn/GPL5653/annot/
GPL5355	GPL5nnn/GPL5355/annot/
