key	path	url
GPL7641	GPL7nnn/GPL7641/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL7nnn/GPL7641/annot/GPL7641.annot.gz
GPL7791	GPL7nnn/GPL7791/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL7nnn/GPL7791/annot/GPL7791.annot.gz
GPL9692	GPL9nnn/GPL9692/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL9nnn/GPL9692/annot/GPL9692.annot.gz
GPL14797	GPL14nnn/GPL14797/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL14nnn/GPL14797/annot/GPL14797.annot.gz
GPL3395	GPL3nnn/GPL3395/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL3nnn/GPL3395/annot/GPL3395.annot.gz
GPL10765	GPL10nnn/GPL10765/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL10nnn/GPL10765/annot/GPL10765.annot.gz
GPL6398	GPL6nnn/GPL6398/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6398/annot/GPL6398.annot.gz
GPL8793	GPL8nnn/GPL8793/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL8nnn/GPL8793/annot/GPL8793.annot.gz
GPL6648	GPL6nnn/GPL6648/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6648/annot/GPL6648.annot.gz
GPL3236	GPL3nnn/GPL3236/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL3nnn/GPL3236/annot/GPL3236.annot.gz
GPL8794	GPL8nnn/GPL8794/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL8nnn/GPL8794/annot/GPL8794.annot.gz
GPL3446	GPL3nnn/GPL3446/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL3nnn/GPL3446/annot/GPL3446.annot.gz
GPL18756	GPL18nnn/GPL18756/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL18nnn/GPL18756/annot/GPL18756.annot.gz
GPL10332	GPL10nnn/GPL10332/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL10nnn/GPL10332/annot/GPL10332.annot.gz
GPL2917	GPL2nnn/GPL2917/annot/	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL2nnn/GPL2917/annot/GPL2917.annot.gz
