Series	Platforms
GSE21510	GPL570
GSE21511	GPL5175
GSE21512	GPL7202
GSE23620	GPL7202
GSE23622	GPL7202
GSE21513	GPL4915
GSE21514	GPL570
GSE21515	GPL1261
GSE21514	GPL10358
GSE21516	GPL6885
GSE21518	GPL6480
GSE21519	GPL6848
GSE21521	GPL570
GSE26554	GPL570
GSE21523	GPL6887
GSE21524	GPL6887
GSE19465	GPL9115
GSE17312	GPL9115
GSE21525	GPL1261
GSE21529	GPL6246
GSE21530	GPL4091
GSE21532	GPL7587
GSE21533	GPL8936
GSE21534	GPL201
GSE21536	GPL4091
GSE21537	GPL7768
GSE21540	GPL2616
GSE21541	GPL2616
GSE21542	GPL10361
GSE21512	GPL9185
GSE21512	GPL9250
GSE23619	GPL9185
GSE23622	GPL9185
GSE21542	GPL10362
GSE21542	GPL4070
GSE21543	GPL8321
GSE15907	GPL6246
GSE21546	GPL1261
GSE21349	GPL570
GSE21547	GPL570
GSE21548	GPL891
GSE21549	GPL1261
GSE21603	GPL1261
GSE21550	GPL570
GSE21555	GPL6254
GSE21557	GPL5639
GSE21558	GPL6246
GSE21560	GPL4200
GSE21561	GPL6480
GSE21562	GPL6105
GSE21565	GPL4133
GSE21566	GPL6480
GSE21567	GPL570
GSE21569	GPL570
GSE21568	GPL1261
GSE21569	GPL1261
GSE21573	GPL1355
GSE21570	GPL570
GSE21572	GPL5188
GSE21574	GPL570
GSE21578	GPL570
GSE21575	GPL570
GSE21576	GPL1261
GSE21577	GPL570
GSE21580	GPL9250
GSE21581	GPL8321
GSE21583	GPL1261
GSE21584	GPL6246
GSE21586	GPL4133
GSE17611	GPL9052
GSE21589	GPL570
GSE21592	GPL571
GSE21068	GPL4135
GSE21594	GPL1261
GSE21595	GPL6246
GSE21596	GPL10367
GSE21597	GPL3718
GSE21597	GPL3720
GSE21600	GPL6101
GSE21602	GPL10369
GSE21606	GPL1261
GSE21608	GPL4134
GSE21621	GPL4134
GSE21609	GPL6103
GSE21612	GPL570
GSE21613	GPL2891
GSE21614	GPL9250
GSE21621	GPL9250
GSE21614	GPL9115
GSE21621	GPL9115
GSE20895	GPL10287
GSE21618	GPL10371
GSE21633	GPL10377
GSE19877	GPL6247
GSE21630	GPL9250
GSE21636	GPL6099
GSE21644	GPL570
GSE21639	GPL81
GSE21640	GPL6247
GSE21642	GPL6247
GSE21641	GPL6247
GSE21648	GPL96
GSE21649	GPL10381
GSE21650	GPL6246
GSE21653	GPL570
GSE21654	GPL570
GSE21655	GPL6244
GSE21656	GPL6244
GSE21657	GPL201
GSE21660	GPL4091
GSE21661	GPL6801
GSE21664	GPL8321
GSE21554	GPL10383
GSE35425	GPL10383
GSE21665	GPL9138
GSE21668	GPL570
GSE21669	GPL9185
GSE21671	GPL9185
GSE21670	GPL1261
GSE21671	GPL1261
GSE21697	GPL10385
GSE21672	GPL3720
GSE21675	GPL6885
GSE21676	GPL6885
GSE21677	GPL6885
GSE21678	GPL1261
GSE21681	GPL1355
GSE21682	GPL1355
GSE21683	GPL1261
GSE21686	GPL6247
GSE21687	GPL570
GSE21688	GPL7202
GSE18558	GPL6885
GSE21691	GPL6246
GSE21692	GPL10389
GSE21703	GPL10389
GSE18927	GPL5188
GSE21693	GPL10390
GSE21703	GPL10390
GSE21696	GPL9250
GSE47899	GPL9250
GSE22082	GPL3720
GSE21687	GPL1261
GSE21687	GPL8227
GSE21700	GPL1261
GSE21699	GPL10279
GSE21746	GPL10279
GSE21702	GPL6104
GSE21707	GPL6885
GSE21536	GPL3718
GSE21708	GPL9517
GSE21710	GPL1261
GSE21711	GPL1261
GSE21713	GPL5175
GSE21714	GPL9052
GSE21715	GPL10399
GSE21719	GPL5106
GSE21834	GPL5106
GSE21716	GPL1261
GSE21717	GPL9185
GSE21718	GPL8321
GSE21722	GPL10400
GSE21723	GPL570
GSE21724	GPL6246
GSE21726	GPL6104
GSE21728	GPL6104
GSE21727	GPL6104
GSE21730	GPL6480
GSE21731	GPL6480
GSE21732	GPL3718
GSE21733	GPL3498
GSE21758	GPL3498
GSE21738	GPL1261
GSE21749	GPL1261
GSE21750	GPL571
GSE21751	GPL6244
GSE21753	GPL10403
GSE21754	GPL1261
GSE21755	GPL1261
GSE21757	GPL6096
GSE21760	GPL570
GSE20667	GPL570
GSE21761	GPL1261
GSE21764	GPL6885
GSE21767	GPL10406
GSE21768	GPL6105
GSE21769	GPL6884
GSE21790	GPL6884
GSE21770	GPL9052
GSE21790	GPL9052
GSE21771	GPL16305
GSE21774	GPL570
GSE21773	GPL9185
GSE21777	GPL9250
GSE21780	GPL6801
GSE21785	GPL96
GSE21791	GPL341
GSE21792	GPL4133
GSE21795	GPL5188
GSE21796	GPL5366
GSE21797	GPL4134
GSE21801	GPL4134
GSE21798	GPL10384
GSE21801	GPL10384
GSE21799	GPL7724
GSE21801	GPL7724
GSE21800	GPL6244
