Platforms	Platforms_url
GPL570	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL570/annot/GPL570.annot.gz
GPL5175	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL5nnn/GPL5175/annot/GPL5175.annot.gz
GPL7202	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL7nnn/GPL7202/annot/GPL7202.annot.gz
GPL4915	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL4nnn/GPL4915/annot/GPL4915.annot.gz
GPL1261	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL1nnn/GPL1261/annot/GPL1261.annot.gz
GPL10358	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL10nnn/GPL10358/annot/GPL10358.annot.gz
GPL6885	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6885/annot/GPL6885.annot.gz
GPL6480	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6480/annot/GPL6480.annot.gz
GPL6848	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6848/annot/GPL6848.annot.gz
GPL6887	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6887/annot/GPL6887.annot.gz
GPL9115	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL9nnn/GPL9115/annot/GPL9115.annot.gz
GPL6246	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6246/annot/GPL6246.annot.gz
GPL4091	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL4nnn/GPL4091/annot/GPL4091.annot.gz
GPL7587	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL7nnn/GPL7587/annot/GPL7587.annot.gz
GPL8936	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL8nnn/GPL8936/annot/GPL8936.annot.gz
GPL201	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL201/annot/GPL201.annot.gz
GPL7768	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL7nnn/GPL7768/annot/GPL7768.annot.gz
GPL2616	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL2nnn/GPL2616/annot/GPL2616.annot.gz
GPL10361	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL10nnn/GPL10361/annot/GPL10361.annot.gz
GPL9185	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL9nnn/GPL9185/annot/GPL9185.annot.gz
GPL9250	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL9nnn/GPL9250/annot/GPL9250.annot.gz
GPL10362	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL10nnn/GPL10362/annot/GPL10362.annot.gz
GPL4070	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL4nnn/GPL4070/annot/GPL4070.annot.gz
GPL8321	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL8nnn/GPL8321/annot/GPL8321.annot.gz
GPL891	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL891/annot/GPL891.annot.gz
GPL6254	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6254/annot/GPL6254.annot.gz
GPL5639	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL5nnn/GPL5639/annot/GPL5639.annot.gz
GPL4200	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL4nnn/GPL4200/annot/GPL4200.annot.gz
GPL6105	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL6nnn/GPL6105/annot/GPL6105.annot.gz
GPL4133	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL4nnn/GPL4133/annot/GPL4133.annot.gz
GPL1355	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL1nnn/GPL1355/annot/GPL1355.annot.gz
GPL5188	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL5nnn/GPL5188/annot/GPL5188.annot.gz
GPL9052	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL9nnn/GPL9052/annot/GPL9052.annot.gz
GPL571	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPLnnn/GPL571/annot/GPL571.annot.gz
GPL4135	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL4nnn/GPL4135/annot/GPL4135.annot.gz
GPL10367	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL10nnn/GPL10367/annot/GPL10367.annot.gz
GPL3718	https://ftp.ncbi.nlm.nih.gov/geo/platforms/GPL3nnn/GPL3718/annot/GPL3718.annot.gz
